CO_ENTIDADE,NO_ENTIDADE,CO_ORGAO_REGIONAL,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,IN_CONVENIADA_PP,TP_CONVENIO_PODER_PUBLICO,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_SALA_ATENDIMENTO_ESPECIAL,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_PARQUE_INFANTIL,IN_BERCARIO,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_EI,IN_BANHEIRO_PNE,IN_DEPENDENCIAS_PNE,IN_BANHEIRO_CHUVEIRO,IN_REFEITORIO,IN_AUDITORIO,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_ALOJAM_ALUNO,IN_AREA_VERDE,IN_LAVANDERIA,IN_INTERNET,IN_ALIMENTACAO,TP_ATIVIDADE_COMPLEMENTAR,IN_EDUCACAO_INDIGENA,IN_FINAL_SEMANA
43105173,ESC TECNICA EST JOSE FEIJO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
43105181,COL ESTADUAL PROTASIO ALVES,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
43105190,COL ESTADUAL DOM JOAO BECKER,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
43105203,COL ESTADUAL CANDIDO JOSE DE GODOI,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
43105211,ESC EST ENS MED INFANTE DOM HENRIQUE,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
43105220,COL ESTADUAL JULIO DE CASTILHOS,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43105238,ESC EST ENS MED PADRE REUS,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
43105246,EMEM EMILIO MEYER,1,4,4305,43026,43,4314902,431490205,3,NA,NA,NA,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0
43105262,ESCOLA DE EDUCACAO INFANTIL CRIANCA ARTEIRA,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
43105270,ESC DE ENS FUND NOSSA SENHORA DO CENACULO,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
43105890,ESC EST ENS FUN ARAUJO PORTO ALEGRE,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
43105904,ESC EST ENS FUN ARAUJO VIANA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
43105920,ESC EST ENS FUN BAEPENDI,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43105939,ESC EST ENS FUN BAHIA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
43105947,ESC EST ENS FUN PADRE BALDUINO RAMBO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43105963,ESC EST ENS FUN MARGARIDA COELHO DE SOUZA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
43105971,ESC EST ENS FUN PROFESSORA BRANCA DIVA PEREIRA DE SOUZA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43105980,ESC EST ENS FUN BRASILIA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43105998,ESC EST ENS FUN BRIGADEIRO FRANCISCO DE LIMA E SILVA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
43106005,ESC EST ENS FUN BRIGADEIRO SILVA PAIS,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
43106013,ESC EST ENS FUN CAMILA FURTADO ALVES,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
43106021,ESC EST ENS FUN CANDIDO PORTINARI,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43106030,ESC EST ENS FUN DR CARLOS BARBOSA GONCALVES,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43106048,COL ESTADUAL CARLOS FAGUNDES DE MELLO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
43106056,ESC EST ENS MED CEARA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43106560,ESC EST ENS FUN ILDEFONSO GOMES,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
43106587,ESC EST ENS MED ITALIA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
43106595,COL ESTADUAL JAPAO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
43106609,ESC EST ENS FUN ERICO VERISSIMO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43106617,ESC EST ENS FUN JERONIMO DE ALBUQUERQUE,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
43106625,ESC EST ENS FUN JERONIMO DE ORNELAS,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
43106633,ESC EST ENS MED PROFESSOR JULIO GRAU,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
43106641,ESC EST ENS FUN PROF EDGAR LUIZ SCHNEIDER,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43106650,ESC EST ENS FUN DR HEROPHILO CARVALHO DE AZAMBUJA,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
43106676,ESC EST ENS FUN PROFESSOR LEOPOLDO TIETBOHL,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
